当n的值为20时
|  变量值  |  拉格朗日插值 |   分段线性插值 |  三次样条插值  |    原函数值    |
| x=2.888 |    0.0031042 |	  0.00311293 |	  0.00310419 |	   0.0031042 |
| x=2.962 |   0.00267181 |	  0.00267933 |	   0.0026718 |	  0.00267181 |
| x=3.038 |   0.00229965 |	  0.00230612 |	  0.00229964 |	  0.00229965 |
| x=3.112 |   0.00197932 |	  0.00198489 |	  0.00197932 |	  0.00197932 |
| x=3.188 |   0.00170362 |	  0.00170841 |	  0.00170362 |	  0.00170362 |
| x=3.263 |   0.00146632 |	  0.00147045 |	  0.00146632 |	  0.00146632 |
| x=3.337 |   0.00126207 |	  0.00126562 |	  0.00126207 |	  0.00126207 |
| x=3.413 |   0.00108628 |	  0.00108933 |	  0.00108627 |	  0.00108628 |
| x=3.487 |  0.000934966 |	 0.000937597 |	 0.000934965 |	 0.000934966 |
| x=3.562 |  0.000804733 |	 0.000806997 |	 0.000804732 |	 0.000804733 |
| x=3.638 |   0.00069264 |	 0.000694589 |	 0.000692639 |	  0.00069264 |
| x=3.712 |  0.000596161 |	 0.000597838 |	  0.00059616 |	 0.000596161 |
| x=3.788 |   0.00051312 |	 0.000514564 |	  0.00051312 |	  0.00051312 |
| x=3.862 |  0.000441647 |	  0.00044289 |	 0.000441646 |	 0.000441647 |
| x=3.938 |  0.000380129 |	 0.000381199 |	 0.000380128 |	 0.000380129 |
| x=4.013 |   0.00032718 |	 0.000328101 |	  0.00032718 |	  0.00032718 |
| x=4.088 |  0.000281606 |	 0.000282399 |	 0.000281606 |	 0.000281606 |
| x=4.162 |  0.000242381 |	 0.000243063 |	 0.000242381 |	 0.000242381 |
| x=4.237 |  0.000208619 |	 0.000209206 |	 0.000208619 |	 0.000208619 |
| x=4.312 |   0.00017956 |	 0.000180065 |	  0.00017956 |	  0.00017956 |
| x=4.388 |  0.000154549 |	 0.000154984 |	 0.000154549 |	 0.000154549 |
| x=4.463 |  0.000133021 |	 0.000133396 |	 0.000133021 |	 0.000133021 |
| x=4.537 |  0.000114493 |	 0.000114815 |	 0.000114492 |	 0.000114493 |
| x=4.612 |  9.85447e-05 |	  9.8822e-05 |	 9.85446e-05 |	 9.85447e-05 |
| x=4.688 |  8.48182e-05 |	 8.50569e-05 |	 8.48181e-05 |	 8.48182e-05 |
| x=4.763 |  7.30037e-05 |	 7.32092e-05 |	 7.30036e-05 |	 7.30037e-05 |
| x=4.838 |  6.28349e-05 |	 6.30117e-05 |	 6.28348e-05 |	 6.28349e-05 |
| x=4.912 |  5.40825e-05 |	 5.42347e-05 |	 5.40824e-05 |	 5.40825e-05 |
| x=4.987 |  4.65492e-05 |	 4.66802e-05 |	 4.65492e-05 |	 4.65492e-05 |
| x=5.062 |  4.00653e-05 |	  4.0178e-05 |	 4.00652e-05 |	 4.00653e-05 |
| x=5.138 |  3.44844e-05 |	 3.45816e-05 |	 3.44845e-05 |	 3.44845e-05 |
| x=5.213 |  2.96815e-05 |	 2.97646e-05 |	 2.96811e-05 |	 2.96811e-05 |
| x=5.287 |   2.5543e-05 |	 2.56186e-05 |	 2.55467e-05 |	 2.55468e-05 |
| x=5.362 |  2.20213e-05 |	 2.20502e-05 |	 2.19883e-05 |	 2.19883e-05 |
| x=5.438 |   1.8796e-05 |	 1.89788e-05 |	 1.89255e-05 |	 1.89255e-05 |
| x=5.513 |  1.56753e-05 |	 1.63352e-05 |	 1.62893e-05 |	 1.62893e-05 |
| x=5.588 |  4.51625e-05 |	 1.40598e-05 |	 1.40203e-05 |	 1.40204e-05 |
| x=5.662 | -2.40543e-05 |	 1.21014e-05 |	 1.20674e-05 |	 1.20674e-05 |
| x=5.737 |   0.00210786 |	 1.04158e-05 |	 1.03865e-05 |	 1.03865e-05 |
| x=5.812 |     0.179478 |	 8.96493e-06 |	 8.93976e-06 |	 8.93978e-06 |
| x=5.888 |     0.244315 |	 7.71619e-06 |	 7.69453e-06 |	 7.69454e-06 |
| x=5.963 |      60.3599 |	 6.64138e-06 |	 6.62274e-06 |	 6.62275e-06 |
三种插值函数的最大绝对误差分别为
     327.106	   0.0026105	 1.28292e-06

